# PSRJ;Model;lnBF;logRedAmp;errUpp_logRedAmp;errLow_logRedAmp;RedSlope;errUpp_RedSlope;errLow_RedSlope
# ;;;yr^3/2;yr^3/2;yr^3/2;;;
J0030+0451;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0134-2937;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0151-0635;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0152-1637;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0206-4028;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0255-5304;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0348+0432;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0401-7608;PLRN;10.6;-10.2;0.2;0.5;4.0;14.4;-2.5
J0418-4154;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0437-4715;PLRN;4.2;-10.8;0.7;0.4;9.5;3.8;2.5
J0450-1248;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0452-1759;PLRN;22.0;-10.4;0.3;0.7;3.1;3.5;2.0
J0525+1115;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0529-6652;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0533+0402;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0536-7543;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0601-0527;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0624-0424;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0627+0706;PLRN;60.2;-10.0;0.4;0.4;3.5;2.5;1.7
J0630-2834;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0646+0905;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0659+1414;PLRN;26.8;-10.1;0.4;3.5;5.6;14.3;2.1
J0711-6830;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0729-1836;PLRN;191.6;-9.7;0.3;0.3;6.1;3.0;2.0
J0737-3039A;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0738-4042;PLRN+F2;5.4;-9.8;0.3;0.2;6.5;1.8;1.4
J0742-2822;PLRN;512.3;-9.0;0.2;0.1;4.8;1.4;1.0
J0758-1528;PLRN;3.2;-10.7;0.6;3.9;4.1;15.8;1.8
J0809-4753;PLRN;3.5;-11.1;1.2;3.6;5.7;14.2;3.5
J0820-1350;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0820-4114;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0835-4510;PLRN;3173.2;-8.2;0.2;0.2;8.6;0.9;0.9
J0837+0610;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0837-4135;PLRN;138.6;-11.7;0.8;1.0;7.5;5.5;2.9
J0840-5332;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0842-4851;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0846-3533;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0855-3331;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0856-6137;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0904-4246;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0904-7459;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0907-5157;PLRN;92.7;-10.8;0.7;3.4;5.8;14.2;2.1
J0908-1739;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0908-4913;PLRN;523.7;-9.6;0.2;0.2;5.0;1.0;0.8
J0909-7212;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0922+0638;PLRN;101.1;-9.4;0.2;0.2;5.6;1.8;2.0
J0924-5302;PLRN;279.9;-9.3;0.3;0.2;4.5;1.3;1.1
J0924-5814;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0934-5249;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0942-5552;PLRN;523.1;-9.0;0.2;0.2;5.9;1.6;1.1
J0942-5657;PLRN;26.5;-13.1;2.6;1.0;17.4;2.6;11.6
J0944-1354;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0953+0755;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0955-5304;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0959-4809;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1001-5507;PLRN;492.9;-9.1;0.2;0.1;4.6;1.2;0.8
J1003-4747;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1012-5857;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1013-5934;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1016-5345;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1017-5621;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1017-7156;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1022+1001;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1032-5911;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1034-3224;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1036-4926;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1041-1942;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1042-5521;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1043-6116;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1045-4509;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1046-5813;PLRN;7.0;-13.2;2.9;1.1;18.3;1.6;14.4
J1047-6709;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1048-5832;PLRN;1258.2;-8.6;0.2;0.1;6.3;1.2;1.0
J1056-6258;PLRN;297.3;-9.7;0.2;0.2;2.9;1.1;1.0
J1057-5226;PLRN;267.5;-9.9;0.2;0.2;5.9;2.3;1.5
J1057-7914;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1059-5742;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1105-6107;PLRN;347.5;-8.9;0.3;0.2;4.1;1.7;1.2
J1110-5637;PLRN;49.0;-10.3;0.5;0.9;6.5;5.7;3.1
J1112-6613;PLRN;35.2;-9.6;0.3;0.2;3.5;2.8;1.7
J1112-6926;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1114-6100;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1116-4122;PLRN;4.8;-13.9;3.8;0.8;17.0;2.1;5.2
J1121-5444;PLRN;111.1;-9.8;0.3;0.3;6.0;3.6;2.1
J1123-6259;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1126-6942;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1133-6250;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1136+1551;PLRN;6.5;-10.4;0.5;3.9;4.0;15.9;2.1
J1136-5525;PLRN;174.3;-10.2;0.5;0.6;7.7;4.3;2.5
J1141-3322;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1141-6545;PLRN;186.8;-10.3;0.4;0.5;4.7;3.2;1.9
J1146-6030;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1157-6224;PLRN;97.5;-10.1;0.2;0.2;3.3;1.8;1.4
J1202-5820;PLRN;69.2;-10.3;0.4;0.6;5.3;4.0;2.0
J1210-5559;PLRN;4.5;-14.7;3.2;1.4;13.8;6.1;10.4
J1224-6407;PLRN;372.6;-10.7;0.2;0.2;5.0;1.9;1.5
J1231-6303;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1239-6832;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1243-6423;PLRN;950.4;-10.2;0.2;0.2;4.5;1.0;0.8
J1253-5820;PLRN;67.0;-10.7;0.5;0.7;5.6;4.5;2.7
J1257-1027;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1259-6741;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1305-6455;PLRN;197.0;-9.7;0.3;0.6;4.9;3.0;1.6
J1306-6617;PLRN;7.8;-11.5;1.6;2.6;16.5;3.4;12.3
J1312-5402;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1312-5516;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1319-6056;PLRN;24.8;-10.3;0.4;3.7;3.1;15.5;-3.4
J1320-5359;PLRN;43.1;-13.8;3.1;0.9;19.4;0.6;13.4
J1326-5859;PLRN;718.2;-10.1;0.3;0.2;5.4;1.3;1.0
J1326-6408;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1326-6700;PLRN;107.9;-9.3;0.2;0.2;3.5;1.8;1.4
J1327-6222;PLRN;946.9;-9.1;0.2;0.2;4.2;1.1;1.0
J1327-6301;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1328-4357;PLRN;11.0;-13.2;3.0;0.8;19.9;0.0;15.4
J1338-6204;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1350-5115;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1355-5153;PLRN;4.1;-13.4;2.9;1.0;16.4;3.5;11.8
J1356-5521;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1359-6038;PLRN;1556.6;-10.0;0.2;0.1;5.1;0.9;0.8
J1401-6357;PLRN;693.7;-9.8;0.3;0.3;7.5;2.9;2.1
J1413-6307;PLRN;143.4;-9.4;0.4;0.3;4.6;3.0;2.4
J1418-3921;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1420-5416;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1424-5822;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1428-5530;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1430-6623;PLRN;26.4;-11.0;0.2;0.0;3.2;7.2;-0.2
J1435-5954;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1452-6036;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1453-6413;PLRN;156.9;-10.9;0.2;0.2;3.2;1.5;1.3
J1456-6843;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1457-5122;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1507-4352;PLRN;16.2;-10.3;0.4;0.9;3.6;5.5;2.5
J1507-6640;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1511-5414;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1512-5759;PLRN;254.7;-9.9;0.3;0.4;6.8;3.9;2.4
J1514-4834;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1522-5829;PLRN;28.9;-12.3;2.1;1.6;11.0;9.0;6.3
J1527-3931;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1527-5552;PLRN;11.8;-10.0;0.2;4.1;17.1;2.8;15.8
J1528-3146;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1534-5334;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1534-5405;PLRN;37.8;-9.7;0.3;0.3;6.1;12.2;-1.8
J1539-5626;PLRN;17.2;-9.8;0.3;0.2;3.1;2.7;2.4
J1542-5034;PLRN;10.0;-11.5;2.4;0.6;15.3;4.6;11.1
J1543+0929;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1544-5308;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1549-4848;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1553-5456;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1555-3134;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1557-4258;PLRN;10.7;-12.3;1.5;1.2;8.7;5.0;5.2
J1559-4438;PLRN;5.7;-10.8;0.7;2.7;3.9;9.5;-0.7
J1559-5545;PLRN;221.5;-8.8;0.2;0.2;4.9;1.6;1.5
J1600-3053;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1600-5044;PLRN;270.2;-10.2;0.3;0.4;6.1;3.4;2.1
J1603-2531;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1603-2712;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1603-7202;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1604-4909;PLRN;133.1;-10.3;0.3;0.5;5.4;2.9;1.4
J1605-5257;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1613-4714;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1622-4950;PLRN;211.8;-4.9;0.6;0.4;7.3;3.4;3.6
J1623-0908;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1623-4256;PLRN;21.2;-12.6;2.3;1.6;19.9;0.0;14.2
J1626-4537;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1633-4453;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1633-5015;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1639-4604;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1644-4559;PLRN;2519.7;-9.9;0.2;0.2;6.2;1.0;0.9
J1646-6831;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1651-4246;PLRN;125.1;-12.8;2.5;1.2;19.7;0.2;12.9
J1651-5222;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1651-5255;PLRN;23.6;-12.2;2.5;1.3;12.6;7.3;8.1
J1652-2404;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1700-3312;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1701-3726;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1703-1846;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1703-3241;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1703-4851;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1705-1906;PLRN;58.2;-10.5;0.4;0.6;4.8;3.9;2.1
J1705-3423;PLRN;27.3;-10.8;0.6;3.6;6.2;13.7;2.7
J1707-4053;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1708-3426;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1709-1640;PLRN;48.5;-9.8;0.2;0.4;3.9;14.1;1.4
J1709-4429;PLRN;504.8;-9.1;0.3;0.4;8.0;2.6;1.6
J1711-5350;PLRN;8.4;-12.6;2.9;1.0;14.7;5.3;11.0
J1715-4034;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1717-3425;PLRN;10.9;-9.4;0.3;2.9;6.2;13.7;3.3
J1717-4054;PLRN;40.7;-11.0;1.6;2.9;11.4;8.6;6.6
J1720-1633;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1720-2933;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1722-3207;PLRN;6.6;-13.8;3.1;0.8;18.0;2.0;13.3
J1722-3712;PLRN;372.6;-9.0;0.2;0.2;4.2;1.1;0.9
J1727-2739;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1730-2304;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1731-4744;PLRN;195.4;-9.5;0.2;0.2;5.0;1.5;1.4
J1733-2228;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1736-2457;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1739-2903;PLRN;19.7;-13.1;2.7;1.1;19.5;0.4;14.5
J1740-3015;PLRN;128.8;-8.9;0.3;0.2;5.2;1.0;1.4
J1741-3927;PLRN;159.5;-9.8;0.3;0.3;6.3;2.5;1.6
J1743-3150;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1745-3040;PLRN;68.7;-14.3;3.3;0.7;18.9;0.5;5.2
J1751-4657;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1752-2806;PLRN;292.9;-9.6;0.2;0.1;2.9;0.8;0.7
J1757-2421;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1759-2205;PLRN;54.9;-10.1;0.3;0.3;4.4;2.0;1.6
J1759-3107;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1801-0357;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1801-2920;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1803-2137;PLRN;41.3;-8.6;0.5;0.5;17.9;2.0;9.8
J1805-1504;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1807-0847;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1807-2715;PLRN;5.2;-12.2;2.1;1.9;17.0;3.0;12.8
J1808-0813;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1809-2109;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1810-5338;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1816-2650;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1818-1422;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1820-0427;PLRN;99.8;-10.1;0.3;0.5;5.7;3.3;2.0
J1822-2256;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1823-0154;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1823-1115;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1823-3106;PLRN;33.1;-10.3;0.3;3.5;4.3;14.6;-4.9
J1824-0127;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1824-1945;PLRN;327.7;-10.0;0.2;0.2;6.1;1.2;1.2
J1825-0935;PLRN;570.6;-9.0;0.2;0.2;4.9;2.1;1.0
J1827-0750;PLRN;30.5;-10.9;1.4;1.4;18.8;1.1;13.2
J1829-1751;PLRN;187.9;-9.6;0.2;0.2;6.0;2.6;1.7
J1830-1135;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1832-0827;PLRN;67.8;-10.4;0.6;1.4;6.1;7.9;3.0
J1833-0338;PLRN;254.7;-9.6;0.2;0.2;5.3;1.6;1.1
J1833-0827;PLRN;28.4;-11.9;1.8;1.7;15.4;4.5;10.5
J1834-0426;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1835-1020;PLRN;84.7;-8.9;0.3;0.1;3.5;3.2;1.3
J1836-0436;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1836-1008;PLRN;85.4;-10.3;0.7;0.9;7.8;3.5;4.1
J1837-0653;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1840-0809;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1840-0815;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1841-0425;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1841+0912;PLRN;19.3;-9.8;0.4;0.6;4.3;4.2;2.5
J1842-0359;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1843-0000;PLRN;6.3;-12.7;3.0;1.0;19.0;0.9;15.2
J1844-0433;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1845-0743;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1847-0402;PLRN;15.1;-10.5;0.5;4.3;4.3;15.6;1.8
J1848-0123;PLRN;46.7;-10.7;0.7;3.3;5.7;12.0;-1.5
J1849-0636;PLRN;13.7;-12.7;2.6;1.5;18.2;1.7;14.3
J1852-0635;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1852-2610;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1857+0212;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1900-2600;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1901+0331;PLRN;277.3;-9.5;0.2;0.2;4.4;1.3;1.3
J1901+0716;PLRN;4.1;-11.4;2.3;1.3;17.8;2.2;13.9
J1901-0906;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1902+0556;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1902+0615;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1903+0135;PLRN;74.4;-13.4;2.5;0.8;20.0;0.0;12.4
J1903-0632;PLRN;10.2;-10.1;0.3;4.0;2.7;16.4;-8.1
J1905-0056;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1909+0007;PLRN;64.3;-10.3;0.3;0.5;6.6;10.9;-1.6
J1909+0254;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1909+1102;PLRN;183.9;-10.6;0.5;0.5;7.9;3.5;2.5
J1909-3744;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1910-0309;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1910+0358;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1913-0440;PLRN;175.6;-10.9;0.6;0.7;7.5;5.0;2.4
J1913+1400;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1915+1009;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1916+0951;PLRN;19.7;-13.2;2.7;1.2;16.5;3.5;12.2
J1916+1312;PLRN;111.7;-9.3;0.3;0.3;6.0;3.3;1.8
J1917+1353;PLRN;74.0;-10.1;0.3;0.2;3.7;1.9;1.4
J1919+0021;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1926+0431;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1932+1059;PLRN;206.5;-10.4;0.3;0.2;5.4;2.5;1.6
J1932-3655;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1935+1616;PLRN;31.3;-10.8;0.3;2.4;4.5;15.5;1.4
J1941-2602;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1943-1237;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1945-0040;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1946-2913;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2006-0807;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2033+0042;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2038-3816;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2046-0421;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2046+1540;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2048-1616;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2051-0827;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2053-7200;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2116+1414;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2129-5721;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2144-3933;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2145-0750;PLRN;33.1;-11.3;0.3;0.3;4.8;3.3;2.7
J2155-3118;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2222-0137;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2241-5236;PLRN;8.7;-12.1;0.3;0.3;0.4;2.0;0.4
J2248-0101;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2324-6054;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2330-2005;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J2346-0609;PLRN;49.1;-12.7;2.4;1.3;19.1;0.9;13.7
